movie_title,release_date,genre,mpaa_rating,total_gross,inflation_adjusted_gross
Snow White and the Seven Dwarfs,21-12-1937,Musical,G,184925485,5228953251
Pinocchio,09-02-1940,Adventure,G,84300000,2188229052
Fantasia,13-11-1940,Musical,G,83320000,2187090808
Song of the South,12-11-1946,Adventure,G,65000000,1078510579
Cinderella,15-02-1950,Drama,G,85000000,920608730
"20,000 Leagues Under the Sea",23-12-1954,Adventure,,28200000,528279994
Lady and the Tramp,22-06-1955,Drama,G,93600000,1236035515
Sleeping Beauty,29-01-1959,Drama,,9464608,21505832
101 Dalmatians,25-01-1961,Comedy,G,153000000,1362870985
The Absent Minded Professor,16-03-1961,Comedy,,25381407,310094574
Babes in Toyland,14-12-1961,Musical,G,10218316,124841160
Bon Voyage!,17-05-1962,Comedy,Not Rated,9230769,109581646
The Sword in the Stone,25-12-1963,Adventure,,22182353,153870834
The Jungle Book,18-10-1967,Musical,Not Rated,141843000,789612346
Blackbeard's Ghost,08-02-1968,Comedy,,21540050,138612686